"Table 940-92031 : Persons arrested for crime by type of offence, age group and sex",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 , ,Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2)
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Age group,,10月15日,10月15日,10月15日,16-20,16-20,16-20,≧21,≧21,≧21,Total,Total,Total
Sex,,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
Year,Type of offence,,,,,,,,,,,,
2008,     Sexual offences (other than rape and indecent assault),104,3,107,201,6,207,490,138,628,795,147,942
2008,     Serious drug offences,117,27,144,832,177,1009,2130,435,2565,3079,639,3718
2008,     Serious immigration offences,0,3,3,29,24,53,433,245,678,462,272,734
2008,     Criminal damage,154,13,167,138,15,153,1135,183,1318,1427,211,1638
2008,     Unlawful society offences,159,6,165,220,3,223,295,9,304,674,18,692
2008,     Possession of arms/ammunition/offensive weapon,27,4,31,55,17,72,439,103,542,521,124,645
2008,     Other crimes,221,29,250,437,76,513,4028,1103,5131,4686,1208,5894
2008,Total,3114,1064,4178,3977,853,4830,23417,8795,32212,30508,10712,41220
2009,Violent crime,866,230,1096,990,115,1105,6181,1454,7635,8037,1799,9836
2009,     Rape,6,1,7,32,0,32,93,2,95,131,3,134
2009,     Indecent assault,126,11,137,86,3,89,645,5,650,857,19,876
2009,     Murder and manslaughter,0,0,0,1,0,1,28,6,34,29,6,35
2009,     Attempted murder,0,0,0,0,0,0,2,2,4,2,2,4
2009,     Wounding,128,16,144,224,10,234,931,165,1096,1283,191,1474
2009,     Serious assault,359,112,471,432,58,490,2589,854,3443,3380,1024,4404
2009,     Assault on police,2,0,2,19,0,19,197,25,222,218,25,243
2009,     Kidnapping and child stealing,0,0,0,0,0,0,0,0,0,0,0,0
2009,     Cruelty to child,0,0,0,3,2,5,126,155,281,129,157,286
2009,     Criminal intimidation,56,34,90,64,25,89,1057,205,1262,1177,264,1441
2009,     Robbery with firearms/arms,0,0,0,0,0,0,3,0,3,3,0,3
2009,     Robbery with pistol-like objects,0,0,0,0,0,0,6,0,6,6,0,6
2009,     Other robberies,69,28,97,69,7,76,236,10,246,374,45,419
2009,     Aggravated burglary,0,0,0,0,0,0,1,0,1,1,0,1
2009,     Blackmail,72,17,89,46,8,54,209,15,224,327,40,367
2009,     Arson,48,11,59,14,2,16,58,10,68,120,23,143
2009,Non-violent crime,1968,942,2910,2799,780,3579,16862,7538,24400,21629,9260,30889
2009,     Burglary,36,6,42,69,6,75,402,41,443,507,53,560
2009,     Snatching,18,3,21,8,1,9,76,6,82,102,10,112
2009,     Pickpocketing,0,0,0,2,2,4,179,44,223,181,46,227
